t,DNI,t_ambt,Wt,Qt,GHI,day,SF,DHI
0,0,13.277,3.95,356.731,0,1,0.514482694,0
1,0,13.089,3.515,295.381,0,1,0.16620863,0
2,0,12.819,3.434,275.283,0,1,0.25342147,0
3,0,12.575,3.332,264.324,0,1,0.956635232,0
4,0,12.398,3.187,550.275,0,1,0.530485103,0
5,0,12.311,2.87,278.502,0,1,0.613528678,0
6,82,12.479,2.696,499.482,98.4,1,0.376845668,57.4
7,352,14.698,2.417,95.259,422.4,1,0.853560939,246.4
8,634,17.742,3.095,515.569,760.8,1,0.71650027,443.8
9,827,19.985,3.37,644.103,992.4,1,0.54039313,578.9
10,961,21.557,3.567,255.381,1153.2,1,0.683327163,672.7
11,1.03,22.57,3.78,98.925,1.236,1,0.700992401,0.721
12,1.026,23.096,3.766,3.855,1.2312,1,0.634955581,0.7182
13,952,23.233,3.493,284.818,1142.4,1,0.869044686,666.4
14,814,23.025,3.083,433.998,976.8,1,0.878485545,569.8
15,619,22.427,2.671,991.923,742.8,1,0.914020494,433.3
16,367,21.388,2.178,256.254,440.4,1,0.215874093,256.9
17,123,19.471,2.329,326.736,147.6,1,0.696479415,86.1
18,0,17.586,2.369,1.217.848,0,1,0.145386324,0
19,0,16.765,2.531,675.934,0,1,0.077564709,0
20,0,15.856,3.047,631.874,0,1,0.282804782,0
21,0,14.971,3.559,587.451,0,1,0.299908097,0
22,0,14.399,3.76,113.112,0,1,0.951735823,0
23,0,13.979,3.786,448.404,0,1,0.889262359,0
24,0,13.277,3.95,356.731,0,2,0.223918548,0
25,0,13.089,3.515,295.381,0,2,0.918828266,0
26,0,12.819,3.434,275.283,0,2,0.205392797,0
27,0,12.575,3.332,264.324,0,2,0.700188492,0
28,0,12.398,3.187,550.275,0,2,0.313959778,0
29,0,12.311,2.87,278.502,0,2,0.344124768,0
30,82,12.479,2.696,499.482,98.4,2,0.48254294,57.4
31,352,14.698,2.417,95.259,422.4,2,0.494334723,246.4
32,634,17.742,3.095,515.569,760.8,2,0.010152657,443.8
33,827,19.985,3.37,644.103,992.4,2,0.612886014,578.9
34,961,21.557,3.567,255.381,1153.2,2,0.697002784,672.7
35,1.03,22.57,3.78,98.925,1.236,2,0.007633905,0.721
36,1.026,23.096,3.766,3.855,1.2312,2,0.506388611,0.7182
37,952,23.233,3.493,284.818,1142.4,2,0.892322735,666.4
38,814,23.025,3.083,433.998,976.8,2,0.214770681,569.8
39,619,22.427,2.671,991.923,742.8,2,0.2061631,433.3
40,367,21.388,2.178,256.254,440.4,2,0.72809158,256.9
41,123,19.471,2.329,326.736,147.6,2,0.689988818,86.1
42,0,17.586,2.369,1.217.848,0,2,0.750001605,0
43,0,16.765,2.531,675.934,0,2,0.294502868,0
44,0,15.856,3.047,631.874,0,2,0.114901265,0
45,0,14.971,3.559,587.451,0,2,0.693539236,0
46,0,14.399,3.76,113.112,0,2,0.123309997,0
47,0,13.979,3.786,448.404,0,2,0.298305058,0
48,0,13.277,3.95,356.731,0,3,0.23638453,0
49,0,13.089,3.515,295.381,0,3,0.645241484,0
50,0,12.819,3.434,275.283,0,3,0.505429375,0
51,0,12.575,3.332,264.324,0,3,0.68421492,0
52,0,12.398,3.187,550.275,0,3,0.148439515,0
53,0,12.311,2.87,278.502,0,3,0.112506437,0
54,82,12.479,2.696,499.482,98.4,3,0.678086894,57.4
55,352,14.698,2.417,95.259,422.4,3,0.902990514,246.4
56,634,17.742,3.095,515.569,760.8,3,0.000152914,443.8
57,827,19.985,3.37,644.103,992.4,3,0.220160984,578.9
58,961,21.557,3.567,255.381,1153.2,3,0.346982653,672.7
59,1.03,22.57,3.78,98.925,1.236,3,0.588323097,0.721
60,1.026,23.096,3.766,3.855,1.2312,3,0.670366405,0.7182
61,952,23.233,3.493,284.818,1142.4,3,0.629386283,666.4
62,814,23.025,3.083,433.998,976.8,3,0.227475428,569.8
63,619,22.427,2.671,991.923,742.8,3,0.879743859,433.3
64,367,21.388,2.178,256.254,440.4,3,0.20586291,256.9
65,123,19.471,2.329,326.736,147.6,3,0.753187752,86.1
66,0,17.586,2.369,1.217.848,0,3,0.057705822,0
67,0,16.765,2.531,675.934,0,3,0.063602228,0
68,0,15.856,3.047,631.874,0,3,0.475189364,0
69,0,14.971,3.559,587.451,0,3,0.051870343,0
70,0,14.399,3.76,113.112,0,3,0.197451031,0
71,0,13.979,3.786,448.404,0,3,0.414402656,0
72,0,13.277,3.95,356.731,0,4,0.586458839,0
73,0,13.089,3.515,295.381,0,4,0.390415111,0
74,0,12.819,3.434,275.283,0,4,0.368715973,0
75,0,12.575,3.332,264.324,0,4,0.782914313,0
76,0,12.398,3.187,550.275,0,4,0.985905404,0
77,0,12.311,2.87,278.502,0,4,0.644594722,0
78,82,12.479,2.696,499.482,98.4,4,0.086877903,57.4
79,352,14.698,2.417,95.259,422.4,4,0.380216874,246.4
80,634,17.742,3.095,515.569,760.8,4,0.202017789,443.8
81,827,19.985,3.37,644.103,992.4,4,0.468796877,578.9
82,961,21.557,3.567,255.381,1153.2,4,0.503684815,672.7
