t,demand
0,19.42
1,19.13
2,18.8
3,18.04
4,17.18
5,15.89
6,15.35
7,16.15
8,17.03
9,18.19
10,19.27
11,19.5
12,19.75
13,19.74
14,19.69
15,18.86
16,18.51
17,18.63
18,21.3
19,21.63
20,21.23
21,20.79
22,19.41
23,18.05
24,16.94
25,16.26
26,15.7
27,15.33
28,14.99
29,14.7
30,15.09
31,18.05
32,21.24
33,22.54
34,22.5
35,22.21
36,20.58
37,20.9
38,19.18
39,21.06
40,23.41
41,22.59
42,24.16
43,24.22
44,23.31
45,22.68
46,21.02
47,18.88
48,17.41
49,16.56
50,15.93
51,15.4
52,15
53,14.68
54,15.45
55,18.04
56,20.98
57,21.85
58,22.42
59,23.32
60,21.61
61,20.15
62,20.71
63,21.84
64,21.39
65,21.13
66,22.69
67,21.97
68,20.99
69,20.5
70,18.58
71,17.21
72,16.1
73,15.49
74,14.92
75,14.5
76,14.23
77,14.51
78,14.31
79,16.12
80,19.1
81,20.17
82,19.9
83,20.19
84,19.14
85,18.77
86,20.9
87,22.84
88,22.77
89,22.01
90,23.91
91,23.1
92,21.94
93,21.85
94,20.51
95,18.5
96,17.19
97,16.26
98,15.65
99,14.38
100,13.79
101,13.87
102,13.47
103,14.74
104,16.61
105,18.08
106,18.4
107,18.76
108,18.39
109,18.08
110,19.21
111,19.94
112,19.73
113,19.58
114,22.03
115,22.08
116,21.37
117,21.05
118,19.45
119,17.63
120,16.42
121,15.54
122,14.83
123,14.29
124,13.74
125,13.43
126,13.14
127,14.12
128,15.78
129,17.46
130,18.69
131,18.99
132,18.55
133,17.76
134,17.84
135,17.6
136,17.71
137,17.95
138,20.83
139,21.17
140,20.92
141,20.44
142,18.94
143,17.61
144,15.8
145,14.96
146,14.5
147,14.11
148,13.77
149,13.25
150,13.42
151,15.22
152,16.94
153,18.55
154,19.81
155,20.98
156,21.13
157,18.03
158,17.71
159,18.24
160,18.34
161,18.67
162,21.59
163,21.76
164,21.45
165,20.61
166,18.45
167,16.8
168,15.54
169,14.82
170,14.33
171,14.14
172,13.85
173,13.78
174,14.09
175,16.38
176,19.3
177,20.29
178,20.45
179,20.33
180,18.2
181,17.49
182,18.82
183,19.98
184,20.06
185,20.04
186,21.7
187,21.2
188,20.35
189,19.87
190,18.09
191,16.11
192,14.92
193,14.15
194,13.67
195,13.16
196,12.94
197,13.19
198,13.8
199,16.25
200,19.3
201,20.62
202,21.3
203,21.79
204,19.87
205,19.61
206,22.02
207,23.21
208,22.83
209,21.96
210,22.87
211,21.91
212,20.75
213,20.36
214,18.56
215,16.6
216,15.19
217,14.35
218,13.88
219,13.56
220,13.37
221,13.51
222,14.24
223,16.38
224,18.98
225,20.34
226,20.95
227,21.85
228,20.5
229,21.35
230,24.3
231,25.36
232,24.55
233,23.23
234,24.79
235,24.1
236,23.36
237,22.38
238,20.66
239,18.5
240,17.01
241,16.16
242,15.22
243,14.9
244,14.68
245,14.44
246,15.12
247,17.86
248,21.8
249,23.8
250,24.51
251,25.21
252,22.65
253,23.16
254,25.5
255,26.11
256,25.84
257,24.51
258,25.36
259,24.74
260,23.66
261,23.31
262,21.82
263,19.82
264,18.3
265,17.22
266,16.56
267,16.05
268,15.29
269,14.73
270,14.53
271,15.13
272,16.98
273,18.57
274,19.56
275,20.6
276,19.97
277,19.55
278,20.84
279,20.96
280,20.9
281,20.95
282,23.37
283,23.07
284,22.23
285,21.8
286,20
287,18.58
288,17.39
289,16.44
290,15.71
291,14.74
292,14.54
293,14.02
294,13.67
295,14.51
296,15.66
297,16.36
298,16.95
299,17.12
300,17.18
301,17.33
302,18.07
303,18.4
304,18.35
305,18.33
306,20.76
307,21.35
308,20.99
309,20.78
310,19.62
311,17.92
312,16.62
313,15.72
314,15.27
315,14.8
316,13.96
317,13.77
318,14.47
319,17.61
320,21.72
321,23.52
322,24.51
323,24.92
324,22.71
325,23.14
326,26.06
327,27.14
