t,demand
0,4485.9
1,4400.7
2,4302.9
3,4139.2
4,3906.3
5,3520.4
6,3308.2
7,3432.1
8,3719.1
9,4043
10,4206.7
11,4311.8
12,4051.5
13,3788.3
14,3685.2
15,3761.4
16,3859.8
17,4002
18,4833.6
19,4927.8
20,4944
21,4759.5
22,4467.1
23,4134.4
24,3890.3
25,3698
26,3522.6
27,3347.5
28,3293.4
29,3250.4
30,3369.3
31,4064.2
32,4952.8
33,5379.7
34,5715.6
35,5871.9
36,5288.6
37,5196.9
38,5661.2
39,5877
40,5940.2
41,5581.9
42,5476.8
43,5272.1
44,5197.6
45,5542.9
46,4861.9
47,4560.4
48,4207.9
49,3925.1
50,3798.4
51,3722.2
52,3600.5
53,3364.1
54,3677.8
55,4630.2
56,4354.8
57,5218.4
58,5885.6
59,6575.7
60,6091.7
61,3837.3
62,3707.8
63,5862.3
64,5391.3
65,4315
66,6090.1
67,6761.4
68,6539.7
69,6182.2
70,5710.3
71,3807.4
72,4531.8
73,4262.9
74,4097.1
75,3970
76,3871.2
77,3781.4
78,3915.9
79,4735.7
80,5475.5
81,5851.4
82,6148.2
83,6405.8
84,5884.5
85,5958.5
86,6685.4
87,6880.6
88,6753.3
89,6403.8
90,6823
91,6538.1
92,6350.4
93,6131.1
94,5731.1
95,5261.2
96,4831.2
97,4456.6
98,4274.5
99,4141.5
100,3926.3
101,3809.8
102,4075.8
103,4775.4
104,5509.8
105,5985.6
106,6360.7
107,6676.4
108,6110.2
109,6231.4
110,6964.7
111,7119.1
112,7022.3
113,6496.8
114,6745.1
115,6492.3
116,6331.1
117,6104.2
118,5705.7
119,5281.4
120,4885.3
121,4689
122,2389.2
123,3944.4
124,3831.6
125,3663.7
126,3843.9
127,4348.4
128,5013.5
129,5341.8
130,5397.6
131,5498.2
132,5336.7
133,5253.8
134,5575.9
135,5739.6
136,5164.7
137,4881.4
138,6235.8
139,6216.4
140,6127
141,5877.1
142,5415.5
143,4911
144,4589.7
145,4345.2
146,4142.5
147,3954.7
148,3598.4
149,3355.3
150,2756.8
151,3028.2
152,3774.6
153,3986.8
154,4143.6
155,4150.1
156,4066.7
157,3889.6
158,3888.9
159,3850.1
160,3905.3
161,4005.9
162,4708.7
163,4909.9
164,4883.1
165,4497
166,4366.9
167,4122.3
168,3841.8
169,3636.4
170,3538.2
171,3452.3
172,3308.8
173,3203.4
174,2323.1
175,3200.1
176,3951.7
177,4283.9
178,4473.3
179,4745.1
180,4669.8
181,4598.2
182,4694.8
183,4675.3
184,4607.2
185,4604.4
186,5315.5
187,5500
188,5543.9
189,5412.1
190,5061.9
191,4672.6
192,4260.8
193,4065
194,3894.2
195,3692.5
196,3595.6
197,3453.4
198,3663.5
199,4436.3
200,4217.9
201,5490.6
202,5795
203,6026.8
204,5747.9
205,5800.7
206,5896.9
207,5710.1
208,5608.3
209,5430.1
210,5809.4
211,5645.7
212,5517
213,5218.3
214,4875.3
215,4432.4
216,4056.3
217,3842.8
218,3725.9
219,3629
220,3536.3
221,3411.7
222,3606
223,4347.8
224,5006.5
225,5353.1
226,5626.5
227,5863.2
228,5418.3
229,5412.2
230,5588.8
231,5882.1
232,6042.5
233,5761.2
234,6140.1
235,5918.5
236,5622.2
237,5317.8
238,4995.1
239,4484.9
240,4088.8
241,3847.9
242,3713.9
243,3561.5
244,3425.4
245,3370.8
246,3656.4
247,4375
248,5002.4
249,5360.7
250,5663.9
