t;DNI;t_ambt;Wt;Qt;RDIFUSA
0;0;25.08;0.9;0;0
1;0;24.87;0.93;0;0
2;0;24.65;1;0;0
3;0;24.4;1.11;0;0
4;0;24.15;1.19;0;0
5;10.8;24.02;1.21;0;10.8
6;116.84;24.19;1.07;0;116.84
7;265.7;25.22;0.49;0;265.7
8;404.77;26.04;0.5;0;404.77
9;573.47;26.88;0.78;0;573.47
10;528.66;27.49;1.01;0;528.66
11;183.84;27.95;1.09;0;183.84
12;203.74;28.25;1.11;0;203.74
13;268.06;28.21;0.98;0;268.06
14;335;27.89;0.76;0;335
15;309.2;27.42;0.49;0;309.2
16;140.97;26.86;0.31;0;140.97
17;26.12;26.23;0.35;0;26.12
18;0;25.77;0.78;0;0
19;0;25.51;0.97;0;0
20;0;25.12;1.19;0;0
21;0;24.63;1.31;0;0
22;0;24.3;1.2;0;0
23;0;24.14;0.91;0;0
24;0;24.04;0.91;0;0
25;0;23.83;0.95;0;0
26;0;23.66;0.95;0;0
27;0;23.52;0.87;0;0
28;0;23.33;0.87;0;0
29;9.2;23.15;0.87;0;9.2
30;92.88;23.84;0.87;0;92.88
31;237.21;24.81;0.79;0;237.21
32;430.78;25.79;0.88;0;430.78
33;628.48;27.02;0.88;0;628.48
34;803.23;27.96;0.81;0;803.23
35;778.88;28.57;0.73;0;778.88
36;848.51;28.88;0.66;0;848.51
37;796.88;28.93;0.61;0;796.88
38;634.65;28.63;0.56;0;634.65
39;452.27;28.15;0.4;0;452.27
40;237.88;27.61;0.24;0;237.88
41;43.18;27.11;0.53;0;43.18
42;0;26.8;0.82;0;0
43;0;26.61;0.95;0;0
44;0;26.25;1.09;0;0
45;0;25.76;1.28;0;0
46;0;25.12;1.47;0;0
47;0;24.54;1.52;0;0
48;0;24.18;1.23;0;0
49;0;24.18;1.02;0;0
50;0;24.1;0.96;0;0
51;0;23.93;0.77;0;0
52;0;23.76;1.06;0;0
53;9.7;23.53;1.23;0;9.7
54;139.64;24;0.85;0;139.64
55;379.9;24.91;0.5;0;379.9
56;550.08;25.95;0.5;0;550.08
57;628.99;27.08;0.69;0;628.99
58;844.23;28.07;0.78;0;844.23
59;883.23;28.72;0.78;0;883.23
60;825.6;29.01;0.72;0;825.6
61;746.76;29.01;0.63;0;746.76
62;549.92;28.71;0.52;0;549.92
63;313.71;28.15;0.32;0;313.71
64;167.77;27.7;0.39;0;167.77
65;27.81;27.03;0.66;0;27.81
66;0;26;1.13;0;0
67;0;25.33;1.17;0;0
68;0;25.12;0.96;0;0
69;0;24.98;0.96;0;0
70;0;24.83;0.84;0;0
71;0;24.61;0.74;0;0
72;0;24.36;0.83;0;0
73;0;24.14;1.11;0;0
74;0;23.96;1.28;0;0
75;0;23.82;1.37;0;0
76;0;23.6;1.42;0;0
77;7.14;23.37;1.38;0;7.14
78;105.33;24.05;0.95;0;105.33
79;274.88;25.35;0.73;0;274.88
80;449.44;26.4;0.76;0;449.44
81;692.43;27.39;0.86;0;692.43
82;838.52;28.26;0.9;0;838.52
83;839.63;28.76;0.83;0;839.63
84;841.66;28.97;0.68;0;841.66
85;729.77;28.92;0.53;0;729.77
86;611.55;28.69;0.43;0;611.55
87;427.85;28.34;0.28;0;427.85
88;215.75;27.85;0.2;0;215.75
89;40.59;27.37;0.49;0;40.59
90;0;27.09;0.71;0;0
91;0;26.94;0.86;0;0
92;0;26.62;1.07;0;0
93;0;26.19;1.26;0;0
94;0;25.88;1.33;0;0
95;0;25.7;1.29;0;0
96;0;25.54;1.21;0;0
97;0;25.28;1.21;0;0
98;0;25.02;1.23;0;0
99;0;24.69;1.31;0;0
100;0;24.51;1.32;0;0
101;6.66;24.37;1.3;0;6.66
102;93.57;24.44;1.19;0;93.57
103;249.38;25.62;0.53;0;249.38
104;408.73;26.37;0.38;0;408.73
105;654.98;26.71;0.29;0;654.98
106;812.48;27.01;0.22;0;812.48
107;878.05;27.43;0.16;0;878.05
108;836.77;27.85;0.15;0;836.77
109;789.62;27.99;0.16;0;789.62
110;624.59;27.86;0.23;0;624.59
111;389.45;27.48;0.29;0;389.45
112;185.05;26.95;0.3;0;185.05
113;32.97;26.29;0.6;0;32.97
114;0;25.5;0.97;0;0
115;0;25.15;0.84;0;0
116;0;25.02;0.92;0;0
117;0;24.91;0.9;0;0
118;0;24.7;0.77;0;0
119;0;24.45;1.05;0;0
120;0;24.21;1.31;0;0
121;0;24.08;1.33;0;0
122;0;24.08;1.25;0;0
123;0;24.1;1.16;0;0
124;0;24.15;1.04;0;0
125;7.21;24.11;1;0;7.21
126;84.45;24.21;0.96;0;84.45
127;216.17;25.22;0.49;0;216.17
128;342.48;26.1;0.34;0;342.48
129;376.3;27;0.26;0;376.3
130;450.69;27.99;0.16;0;450.69
131;571.69;28.69;0.2;0;571.69
132;680.25;29.05;0.23;0;680.25
133;691.09;29.11;0.21;0;691.09
134;599.62;28.87;0.17;0;599.62
135;430.19;28.34;0.14;0;430.19
136;207.19;27.83;0.14;0;207.19
137;37.3;27.23;0.37;0;37.3
