t,DNI,t_ambt,Wt,Qt,GHI,day,SF,DHI
0,0,25.08,0.9,0,0,1,0.514482694,0
1,0,24.87,0.93,0,0,1,0.16620863,0
2,0,24.65,1,0,0,1,0.25342147,0
3,0,24.4,1.11,0,0,1,0.956635232,0
4,0,24.15,1.19,0,0,1,0.530485103,0
5,10.8,24.02,1.21,0,0,1,0.613528678,0
6,116.84,24.19,1.07,0,98.4,1,0.376845668,57.4
7,265.7,25.22,0.49,0,422.4,1,0.853560939,246.4
8,404.77,26.04,0.5,0,760.8,1,0.71650027,443.8
9,573.47,26.88,0.78,0,992.4,1,0.54039313,578.9
10,528.66,27.49,1.01,0,1153.2,1,0.683327163,672.7
11,183.84,27.95,1.09,0,1.236,1,0.700992401,0.721
12,203.74,28.25,1.11,0,1.2312,1,0.634955581,0.7182
13,268.06,28.21,0.98,0,1142.4,1,0.869044686,666.4
14,335,27.89,0.76,0,976.8,1,0.878485545,569.8
15,309.2,27.42,0.49,0,742.8,1,0.914020494,433.3
16,140.97,26.86,0.31,0,440.4,1,0.215874093,256.9
17,26.12,26.23,0.35,0,147.6,1,0.696479415,86.1
18,0,25.77,0.78,0,0,1,0.145386324,0
19,0,25.51,0.97,0,0,1,0.077564709,0
20,0,25.12,1.19,0,0,1,0.282804782,0
21,0,24.63,1.31,0,0,1,0.299908097,0
22,0,24.3,1.2,0,0,1,0.951735823,0
23,0,24.14,0.91,0,0,1,0.889262359,0
24,0,24.04,0.91,0,0,2,0.223918548,0
25,0,23.83,0.95,0,0,2,0.918828266,0
26,0,23.66,0.95,0,0,2,0.205392797,0
27,0,23.52,0.87,0,0,2,0.700188492,0
28,0,23.33,0.87,0,0,2,0.313959778,0
29,9.2,23.15,0.87,0,0,2,0.344124768,0
30,92.88,23.84,0.87,0,98.4,2,0.48254294,57.4
31,237.21,24.81,0.79,0,422.4,2,0.494334723,246.4
32,430.78,25.79,0.88,0,760.8,2,0.010152657,443.8
33,628.48,27.02,0.88,0,992.4,2,0.612886014,578.9
34,803.23,27.96,0.81,0,1153.2,2,0.697002784,672.7
35,778.88,28.57,0.73,0,1.236,2,0.007633905,0.721
36,848.51,28.88,0.66,0,1.2312,2,0.506388611,0.7182
37,796.88,28.93,0.61,0,1142.4,2,0.892322735,666.4
38,634.65,28.63,0.56,0,976.8,2,0.214770681,569.8
39,452.27,28.15,0.4,0,742.8,2,0.2061631,433.3
40,237.88,27.61,0.24,0,440.4,2,0.72809158,256.9
41,43.18,27.11,0.53,0,147.6,2,0.689988818,86.1
42,0,26.8,0.82,0,0,2,0.750001605,0
43,0,26.61,0.95,0,0,2,0.294502868,0
44,0,26.25,1.09,0,0,2,0.114901265,0
45,0,25.76,1.28,0,0,2,0.693539236,0
46,0,25.12,1.47,0,0,2,0.123309997,0
47,0,24.54,1.52,0,0,2,0.298305058,0
48,0,24.18,1.23,0,0,3,0.23638453,0
49,0,24.18,1.02,0,0,3,0.645241484,0
50,0,24.1,0.96,0,0,3,0.505429375,0
51,0,23.93,0.77,0,0,3,0.68421492,0
52,0,23.76,1.06,0,0,3,0.148439515,0
53,9.7,23.53,1.23,0,0,3,0.112506437,0
54,139.64,24,0.85,0,98.4,3,0.678086894,57.4
55,379.9,24.91,0.5,0,422.4,3,0.902990514,246.4
56,550.08,25.95,0.5,0,760.8,3,0.000152914,443.8
57,628.99,27.08,0.69,0,992.4,3,0.220160984,578.9
58,844.23,28.07,0.78,0,1153.2,3,0.346982653,672.7
59,883.23,28.72,0.78,0,1.236,3,0.588323097,0.721
60,825.6,29.01,0.72,0,1.2312,3,0.670366405,0.7182
61,746.76,29.01,0.63,0,1142.4,3,0.629386283,666.4
62,549.92,28.71,0.52,0,976.8,3,0.227475428,569.8
63,313.71,28.15,0.32,0,742.8,3,0.879743859,433.3
64,167.77,27.7,0.39,0,440.4,3,0.20586291,256.9
65,27.81,27.03,0.66,0,147.6,3,0.753187752,86.1
66,0,26,1.13,0,0,3,0.057705822,0
67,0,25.33,1.17,0,0,3,0.063602228,0
68,0,25.12,0.96,0,0,3,0.475189364,0
69,0,24.98,0.96,0,0,3,0.051870343,0
70,0,24.83,0.84,0,0,3,0.197451031,0
71,0,24.61,0.74,0,0,3,0.414402656,0
72,0,24.36,0.83,0,0,4,0.586458839,0
73,0,24.14,1.11,0,0,4,0.390415111,0
74,0,23.96,1.28,0,0,4,0.368715973,0
75,0,23.82,1.37,0,0,4,0.782914313,0
76,0,23.6,1.42,0,0,4,0.985905404,0
77,7.14,23.37,1.38,0,0,4,0.644594722,0
78,105.33,24.05,0.95,0,98.4,4,0.086877903,57.4
79,274.88,25.35,0.73,0,422.4,4,0.380216874,246.4
80,449.44,26.4,0.76,0,760.8,4,0.202017789,443.8
81,692.43,27.39,0.86,0,992.4,4,0.468796877,578.9
82,838.52,28.26,0.9,0,1153.2,4,0.503684815,672.7
83,839.63,28.76,0.83,0,1.236,4,0.036161785,0.721
84,841.66,28.97,0.68,0,1.2312,4,0.28481896,0.7182
85,729.77,28.92,0.53,0,1142.4,4,0.902766601,666.4
86,611.55,28.69,0.43,0,976.8,4,0.908751889,569.8
87,427.85,28.34,0.28,0,742.8,4,0.416687329,433.3
88,215.75,27.85,0.2,0,440.4,4,0.649118123,256.9
89,40.59,27.37,0.49,0,147.6,4,0.051935303,86.1
90,0,27.09,0.71,0,0,4,0.923969765,0
91,0,26.94,0.86,0,0,4,0.876294485,0
92,0,26.62,1.07,0,0,4,0.50607269,0
93,0,26.19,1.26,0,0,4,0.819993239,0
94,0,25.88,1.33,0,0,4,0.44900289,0
95,0,25.7,1.29,0,0,4,0.561207744,0
96,0,25.54,1.21,0,0,5,0.631195059,0
97,0,25.28,1.21,0,0,5,0.998175946,0
98,0,25.02,1.23,0,0,5,0.018412806,0
99,0,24.69,1.31,0,0,5,0.063774317,0
