t,demand
0,3.36
1,3.28
2,3.32
3,3.31
4,3.23
5,3.24
6,4.01
7,3.81
8,6.54
9,6.48
10,3.73
11,3.51
12,6.52
13,10.57
14,3.35
15,3.36
16,3.41
17,4.12
18,9.98
19,10.62
20,4.41
21,4.47
22,4.47
23,3.27
24,3.19
25,3.34
26,3.28
27,3.28
28,3.25
29,3.25
30,4.01
31,3.91
32,6.53
33,6.42
34,3.59
35,3.67
36,6.62
37,10.27
38,3.33
39,3.57
40,3.39
41,4.04
42,10.2
43,11.01
44,4.49
45,4.49
46,4.28
47,3.26
48,3.35
49,3.3
50,3.31
51,3.27
52,3.28
53,3.32
54,3.96
55,3.91
56,6.53
57,6.36
58,3.71
59,3.57
60,6.57
61,10.16
62,3.23
63,3.37
64,3.47
65,4.17
66,9.91
67,11.06
68,4.55
69,4.39
70,4.26
71,3.29
72,3.19
73,3.2
74,3.27
75,3.25
76,3.27
77,3.36
78,3.93
79,3.8
80,6.53
81,6.49
82,3.38
83,3.62
84,6.64
85,10.34
86,3.22
87,3.45
88,3.35
89,4.13
90,10.14
91,10.93
92,4.37
93,4.44
94,4.26
95,3.21
96,3.38
97,3.26
98,3.36
99,3.32
100,3.36
101,3.24
102,3.8
103,3.93
104,6.56
105,6.42
106,3.58
107,3.58
108,6.52
109,10.25
110,3.28
111,3.46
112,3.41
113,4.16
114,10.15
115,11.42
116,4.41
117,4.51
118,4.27
119,3.24
120,3.35
121,3.3
122,3.21
123,3.32
124,3.25
125,3.33
126,3.81
127,3.74
128,6.65
129,6.4
130,3.53
131,3.58
132,6.64
133,10.56
134,3.17
135,3.37
136,3.38
137,3.94
138,9.9
139,10.96
140,4.44
141,4.49
142,4.33
143,3.18
144,3.32
145,3.22
146,3.24
147,3.31
148,3.31
149,3.26
150,3.84
151,3.93
152,6.64
153,6.44
154,3.56
155,3.67
156,6.54
157,10.52
158,3.31
159,3.46
160,3.45
161,3.97
162,10.13
163,11.25
164,4.51
165,4.37
166,4.21
167,3.21
168,3.21
169,3.21
170,3.3
171,3.25
172,3.34
173,3.32
174,3.84
175,3.87
176,6.56
177,6.38
178,3.59
179,3.63
180,6.68
181,10.15
182,3.24
183,3.46
184,3.43
185,4.07
186,9.64
187,11.16
188,4.47
189,4.34
190,4.32
191,3.27
192,3.25
193,3.35
194,3.2
195,3.31
196,3.24
197,3.31
198,3.88
199,3.95
200,6.6
201,6.48
202,3.52
203,3.71
204,6.4
205,10.33
206,3.43
207,3.37
208,3.43
209,4.13
210,9.93
211,11.29
212,4.37
213,4.55
214,4.2
215,3.24
216,3.36
217,3.16
218,3.27
219,3.29
220,3.33
221,3.3
222,3.89
223,3.88
224,6.57
225,6.45
226,3.62
227,3.56
228,6.72
229,10.48
230,3.32
231,3.35
232,3.43
233,4.16
234,9.92
235,11.29
236,4.54
237,4.45
238,4.2
239,3.2
240,3.25
241,3.4
242,3.19
243,3.29
244,3.25
245,3.29
246,3.86
247,3.83
248,6.58
249,6.49
250,3.58
251,3.77
252,6.6
253,10.33
254,3.32
255,3.36
256,3.46
257,4.06
258,10.59
259,11.02
260,4.4
261,4.35
262,4.35
263,3.18
264,3.25
265,3.31
266,3.26
267,3.28
268,3.19
269,3.24
270,3.92
271,3.97
272,6.62
273,6.47
274,3.61
275,3.67
276,6.67
277,10.31
278,3.22
279,3.32
280,3.42
281,4.01
282,9.74
283,10.95
284,4.45
285,4.39
286,4.27
287,3.24
288,3.23
289,3.23
290,3.26
291,3.29
292,3.33
293,3.29
294,3.87
295,3.84
296,6.53
297,6.41
298,3.6
299,3.67
300,6.7
301,10.55
302,3.23
303,3.41
304,3.37
305,4.09
306,10.24
307,11.02
308,4.44
309,4.43
310,4.33
311,3.34
312,3.27
313,3.29
314,3.29
315,3.2
316,3.36
317,3.28
318,3.87
319,3.85
320,6.53
321,6.35
322,3.6
323,3.61
324,6.56
325,10.57
326,3.35
327,3.39
328,3.46
329,4.08
330,10.35
331,10.87
332,4.45
333,4.4
334,4.24
335,3.3
336,3.36
337,3.26
338,3.31
339,3.31
340,3.3
341,3.26
342,3.92
343,3.79
344,6.54
345,6.34
346,3.48
347,3.65
348,6.5
349,9.98
350,3.34
351,3.37
352,3.55
353,4.02
354,10.17
355,10.98
356,4.45
357,4.43
358,4.22
359,3.35
360,3.27
361,3.35
362,3.27
363,3.18
364,3.34
365,3.26
366,3.99
367,3.9
368,6.74
369,6.3
370,3.67
371,3.6
372,6.73
373,10.12
374,3.26
375,3.37
376,3.41
377,4.12
378,10.28
379,11.56
380,4.42
381,4.44
382,4.27
383,3.39
384,3.28
385,3.28
386,3.18
387,3.26
388,3.32
389,3.32
390,3.84
391,3.91
392,6.54
393,6.39
394,3.69
395,3.5
396,6.37
397,10.48
398,3.15
399,3.44
400,3.49
401,4
402,9.89
403,10.92
404,4.49
405,4.43
406,4.34
407,3.23
408,3.37
409,3.36
410,3.28
411,3.23
412,3.19
413,3.36
414,3.85
415,3.94
416,6.46
417,6.31
418,3.56
419,3.46
420,6.57
421,10.72
422,3.15
423,3.43
424,3.47
425,3.98
426,9.85
427,11.06
428,4.41
429,4.52
430,4.26
431,3.4
432,3.2
433,3.22
434,3.27
435,3.27
436,3.27
437,3.31
438,3.96
439,3.82
440,6.54
441,6.34
442,3.69
443,3.55
444,6.59
445,10.6
446,3.3
447,3.44
448,3.35
449,4.04
450,10.15
451,11.17
452,4.37
453,4.33
454,4.21
455,3.24
456,3.28
457,3.31
458,3.36
459,3.18
460,3.3
461,3.32
462,3.89
463,3.85
464,6.45
465,6.54
466,3.65
467,3.67
468,6.65
469,10.43
470,3.32
471,3.39
472,3.45
473,4.15
474,10.15
475,10.9
476,4.43
477,4.41
478,4.26
479,3.26
480,3.22
481,3.22
482,3.28
483,3.3
484,3.23
485,3.33
486,3.9
487,3.8
488,6.59
489,6.21
490,3.69
491,3.51
492,6.5
493,10.44
494,3.3
495,3.35
496,3.41
497,4.03
498,10.03
499,10.96
500,4.46
501,4.45
502,4.32
503,3.18
504,3.23
505,3.29
506,3.26
507,3.28
508,3.3
509,3.35
510,3.89
511,3.89
512,6.58
513,6.35
514,3.69
515,3.58
516,6.65
517,10.22
518,3.23
519,3.47
520,3.51
521,4.16
522,10.06
523,10.79
524,4.45
525,4.33
526,4.35
527,3.33
528,3.32
529,3.27
530,3.26
531,3.26
532,3.28
533,3.29
534,3.89
535,4
536,6.46
537,6.42
538,3.57
539,3.65
540,6.61
541,10.38
542,3.3
543,3.42
544,3.39
545,3.99
546,9.7
547,10.95
548,4.4
549,4.53
550,4.3
551,3.25
552,3.14
553,3.36
554,3.3
555,3.26
556,3.24
557,3.31
558,3.83
559,3.91
560,6.48
561,6.46
562,3.59
563,3.75
564,6.51
565,10.08
566,3.2
567,3.47
568,3.34
569,4.04
570,9.89
571,11.08
572,4.49
573,4.42
574,4.29
575,3.29
576,3.2
577,3.26
578,3.25
579,3.27
580,3.24
581,3.32
582,3.87
583,3.91
584,6.47
585,6.49
586,3.69
587,3.65
588,6.59
589,10.44
590,3.3
591,3.37
592,3.4
593,4.06
594,10.29
595,11.31
596,4.51
597,4.52
598,4.28
599,3.21
600,3.25
601,3.34
602,3.26
603,3.36
604,3.43
605,3.25
606,3.74
607,3.94
608,6.53
609,6.47
610,3.64
611,3.63
612,6.57
613,10.35
614,3.29
615,3.51
616,3.38
617,4.07
618,10.14
619,11.34
620,4.43
621,4.43
622,4.17
623,3.38
624,3.3
625,3.25
626,3.39
627,3.32
628,3.3
629,3.21
630,3.93
631,3.87
632,6.48
633,6.52
634,3.67
635,3.45
636,6.45
637,10.15
638,3.3
639,3.43
640,3.41
641,3.92
642,10.32
643,11.48
644,4.44
645,4.41
646,4.21
647,3.27
648,3.3
649,3.29
650,3.16
651,3.36
652,3.3
653,3.16
654,3.96
655,3.85
656,6.57
657,6.37
658,3.55
659,3.61
660,6.53
661,10.3
662,3.25
663,3.38
664,3.39
665,3.96
666,9.67
667,11.35
668,4.41
669,4.36
670,4.28
671,3.3
672,3.29
673,3.35
674,3.25
675,3.28
676,3.29
677,3.36
678,3.85
679,3.81
680,6.63
681,6.42
682,3.56
683,3.65
684,6.63
685,10.39
686,3.23
687,3.47
688,3.48
689,3.98
690,10.05
691,10.94
692,4.49
693,4.51
694,4.41
695,3.27
696,3.31
697,3.2
698,3.4
699,3.3
700,3.23
701,3.2
702,3.91
703,3.82
704,6.59
705,6.4
706,3.59
707,3.65
708,6.49
709,10.18
710,3.35
711,3.48
712,3.32
713,4
714,10.1
715,10.94
716,4.35
717,4.41
718,4.27
719,3.24
720,3.29
721,3.26
722,3.26
723,3.34
724,3.27
725,3.19
726,3.81
727,3.99
728,6.51
729,6.44
730,3.68
731,3.58
732,6.56
733,10.69
734,3.18
735,3.36
736,3.46
737,3.98
738,9.99
739,10.81
740,4.41
741,4.56
742,4.28
743,3.37
744,3.33
745,3.25
746,3.23
747,3.21
748,3.3
749,3.34
750,3.9
751,3.87
752,6.58
753,6.46
754,3.63
755,3.63
756,6.61
757,10.19
758,3.27
759,3.41
760,3.45
761,4
762,10.21
763,10.86
764,4.45
765,4.45
766,4.21
767,3.37
768,3.21
769,3.19
770,3.28
771,3.27
772,3.31
773,3.33
774,3.84
775,3.95
776,6.42
777,6.4
778,3.66
779,3.56
780,6.5
781,10.69
782,3.27
783,3.49
784,3.48
785,4.08
786,10.26
787,11.34
788,4.36
789,4.57
790,4.36
791,3.36
792,3.27
793,3.31
794,3.37
795,3.29
796,3.24
797,3.18
798,3.86
799,3.97
800,6.57
801,6.4
802,3.47
803,3.58
804,6.65
805,10.4
806,3.34
807,3.41
808,3.49
809,4.07
810,10.16
811,10.94
812,4.46
813,4.41
814,4.28
815,3.25
816,3.33
817,3.25
818,3.32
819,3.23
820,3.31
821,3.34
822,3.88
823,3.81
824,6.67
825,6.39
826,3.54
827,3.58
828,6.63
829,10.54
830,3.31
831,3.35
832,3.36
833,4.05
834,9.75
835,10.95
836,4.43
837,4.32
838,4.29
839,3.28
840,3.33
841,3.22
842,3.32
843,3.28
844,3.29
845,3.3
846,3.87
847,3.85
848,6.55
849,6.35
850,3.58
851,3.66
852,6.62
853,10.44
854,3.24
855,3.36
856,3.4
857,4.09
858,10.22
859,11.01
860,4.54
861,4.42
862,4.29
863,3.2
864,3.24
865,3.28
866,3.28
867,3.34
868,3.26
869,3.27
870,4.02
871,3.93
872,6.5
873,6.51
874,3.53
875,3.61
876,6.54
877,10.56
878,3.27
879,3.57
880,3.47
881,4.08
882,9.84
883,11.32
884,4.5
885,4.4
886,4.22
887,3.23
888,3.19
889,3.21
