t,DNI,t_ambt,Wt,Qt,GHI,day,SF,DHI
0,0,27.36,3.95,356.731,0,1,0,0
1,0,27.25,3.515,295.381,0,1,0,0
2,0,27.15,3.434,275.283,0,1,0,0
3,0,27.08,3.332,264.324,0,1,0,0
4,0,27.05,3.187,550.275,0,1,0,0
5,0,27.04,2.87,278.502,0,1,0,0
6,62.93948623,27.02,2.696,499.482,33.68966972,1,0,0
7,254.202042,26.98,2.417,95.259,215.6317075,1,0,0
8,469.3006707,26.99,3.095,515.569,421.6733714,1,0,0
9,675.5739663,27.03,3.37,644.103,620.058809,1,0,0
10,838.1515286,27.07,3.567,255.381,776.7885136,1,0,0
11,927.907208,27.12,3.78,98.925,863.4238981,1,0,0
12,928.2796186,27.15,3.766,3.855,863.7835038,1,0,0
13,839.199414,27.18,3.493,284.818,777.799561,1,0,0
14,677.1057939,27.19,3.083,433.998,621.5342001,1,0,0
15,471.047961,27.2,2.671,991.923,423.3511006,1,0,0
16,255.8816318,27.22,2.178,256.254,217.2359803,1,0,0
17,64.31679355,27.22,2.329,326.736,34.99296065,1,0,0
18,0,27.21,2.369,1.217.848,0,1,0,0
19,0,27.19,2.531,675.934,0,1,0,0
20,0,27.19,3.047,631.874,0,1,0,0
21,0,27.17,3.559,587.451,0,1,0,0
22,0,27.12,3.76,113.112,0,1,0,0
23,0,27.04,3.786,448.404,0,1,0,0
24,0,26.95,3.004028986,399.9893595,0,2,0,0
25,0,26.9,2.991734638,404.5098827,0,2,0,0
26,0,26.87,2.97944029,409.0304059,0,2,0,0
27,0,26.87,2.967145942,413.5509291,0,2,0,0
28,0,26.9,2.954851594,418.0714524,0,2,0,0
29,0,26.98,2.942557246,422.5919756,0,2,0,0
30,61.72710371,27.05,2.930262899,427.1124988,32.66361619,2,0,0
31,252.6338714,27.13,2.917968551,431.633022,214.2867724,2,0,0
32,467.5654016,27.23,2.905674203,436.1535452,420.1886739,2,0,0
33,673.9257549,27.33,2.893379855,440.6740685,618.6762061,2,0,0
34,836.854716,27.4,2.881085507,445.1945917,775.758764,2,0,0
35,927.1760245,27.43,2.868791159,449.7151149,862.9479698,2,0,0
36,928.2283141,27.43,2.856496812,454.2356381,863.9641731,2,0,0
37,839.8156629,27.46,2.844202464,458.7561613,778.6159005,2,0,0
38,678.2542271,27.48,2.831908116,463.2766846,622.8456533,2,0,0
39,472.502862,27.49,2.819613768,467.7972078,424.9301567,2,0,0
40,257.3802818,27.48,2.80731942,472.317731,218.8210323,2,0,0
41,65.61965545,27.5,2.795025072,476.8382542,36.34773752,2,0,0
42,0,27.51,2.782730725,1.217.849,0,2,0,0
43,0,27.55,2.770436377,199.2084,0,2,0,0
44,0,27.55,2.758142029,101.8262,0,2,0,0
45,0,27.54,2.745847681,4.444,0,2,0,0
46,0,27.5,2.733553333,-92.9382,0,2,0,0
47,0,27.44,2.721258986,-190.3204,0,2,0,0
48,0,27.38,2.708964638,481.3587774,0,3,0,0
49,0,27.29,2.69667029,485.8793007,0,3,0,0
50,0,27.18,2.684375942,490.3998239,0,3,0,0
51,0,27.02,2.672081594,494.9203471,0,3,0,0
52,0,26.89,2.659787246,499.4408703,0,3,0,0
53,0,26.83,2.647492899,503.9613935,0,3,0,0
54,60.53532434,26.86,2.635198551,508.4819168,31.66658163,3,0,0
55,251.0821574,26.92,2.622904203,513.00244,212.9696518,3,0,0
56,465.837311,26.99,2.610609855,517.5229632,418.7253164,3,0,0
57,672.2718169,27.05,2.598315507,522.0434864,617.3044975,3,0,0
58,835.5381098,27.07,2.586021159,526.5640096,774.7277648,3,0,0
59,926.4126539,27.06,2.573726812,531.0845329,862.4596233,3,0,0
60,928.1366099,27,2.561432464,535.6050561,864.1246284,3,0,0
61,840.3890445,26.91,2.549138116,540.1255793,779.4091227,3,0,0
62,679.3633152,26.87,2.536843768,544.6461025,624.1362519,3,0,0
63,473.9268185,26.84,2.52454942,549.1666257,426.4947747,3,0,0
64,258.8591071,26.83,2.512255072,553.687149,220.4002187,3,0,0
65,66.91389814,26.81,2.499960725,558.2076722,37.70494667,3,0,0
66,0,26.78,2.487666377,1.217.850,0,3,0,0
67,0,26.71,2.475372029,-287.7026,0,3,0,0
68,0,26.63,2.463077681,-385.0848,0,3,0,0
69,0,26.54,2.450783333,-482.467,0,3,0,0
70,0,26.5,2.438488986,-579.8492,0,3,0,0
71,0,26.49,2.426194638,-677.2314,0,3,0,0
72,0,26.51,2.41390029,562.7281954,0,4,0,0
73,0,26.49,2.401605942,567.2487186,0,4,0,0
74,0,26.47,2.389311594,571.7692418,0,4,0,0
75,0,26.48,2.377017246,576.289765,0,4,0,0
76,0,26.55,2.364722899,580.8102883,0,4,0,0
77,0,26.67,2.352428551,585.3308115,0,4,0,0
78,59.3652452,26.76,2.340134203,589.8513347,30.69945928,4,0,0
79,249.548414,26.76,2.327839855,594.3718579,211.6816197,4,0,0
80,464.1181493,26.75,2.315545507,598.8923811,417.2847852,4,0,0
81,670.6138764,26.81,2.303251159,603.4129044,615.9451353,4,0,0
82,834.2031225,26.86,2.290956812,607.9334276,773.6966637,4,0,0
83,925.6179524,26.87,2.278662464,612.4539508,861.9594735,4,0,0
84,928.0046618,26.79,2.266368116,616.974474,864.2648206,4,0,0
85,840.919004,26.65,2.254073768,621.4949972,780.1785131,4,0,0
86,680.4319181,26.52,2.24177942,626.0155205,625.4047458,4,0,0
87,475.3183358,26.49,2.229485072,630.5360437,428.0433999,4,0,0
88,260.3165389,26.57,2.217190725,635.0565669,221.9719566,4,0,0
89,68.19814302,26.73,2.204896377,639.5770901,39.06323513,4,0,0
90,0,26.97,2.192602029,1.217.851,0,4,0,0
91,0,27.09,2.180307681,-774.6136,0,4,0,0
92,0,27.09,2.168013333,-871.9958,0,4,0,0
93,0,27.03,2.155718986,-969.378,0,4,0,0
94,0,26.98,2.143424638,-1066.7602,0,4,0,0
95,0,26.98,2.13113029,-1164.1424,0,4,0,0
96,0,26.95,2.118835942,644.0976133,0,5,0,0
97,0,26.91,2.106541594,648.6181366,0,5,0,0
98,0,26.85,2.094247246,653.1386598,0,5,0,0
99,0,26.83,2.081952899,657.659183,0,5,0,0
