t,demand
0,1296.7
1,1258.6
2,1231.8
3,1222.8
4,1220.6
5,1215
6,1165.3
7,1107.7
8,1139.2
9,1178.5
10,1205.7
11,1198.1
12,1167.7
13,1141
14,1146.5
15,1092
16,1046.4
17,1060.5
18,1248.5
19,1399
20,1382
21,1369.1
22,1364.8
23,1338.6
24,1293.7
25,1269.4
26,1238.6
27,1225.1
28,1216
29,1242.1
30,1210.1
31,1126.6
32,1156.7
33,1228.5
34,1242.3
35,1245.8
36,1242.2
37,1205.1
38,1212.2
39,1203.9
40,1176.5
41,1162.3
42,1378.2
43,1445.8
44,1420.7
45,1415.9
46,1397.8
47,1359.9
48,1316.1
49,1276
50,1247.1
51,1207.1
52,1175.2
53,1222.5
54,1184
55,1110.4
56,1157.5
57,1198.6
58,1219.5
59,1243
60,1218.5
61,1175.3
62,1090.6
63,1061.5
64,1057.6
65,1056.8
66,1212.2
67,1316.8
68,1291.3
69,1275.6
70,1229
71,1166.8
72,1139.7
73,1116.2
74,1106
75,1086.5
76,1080.5
77,1112.3
78,1117.8
79,1046.9
80,1081.3
81,1117.4
82,1136.2
83,1149.2
84,1149.1
85,1145.3
86,1143.1
87,1150.8
88,1136.1
89,1125
90,1273.2
91,1425.7
92,1400.4
93,1353.8
94,1319.6
95,1281.2
96,1230.5
97,1174.1
98,1148
99,1128.3
100,1118.3
101,1141.9
102,1128.9
103,1043.5
104,1089.5
105,1156.2
106,1182.5
107,934.5
108,1079.8
109,1111.2
110,1059.4
111,1103.9
112,1114.2
113,1208.3
114,1397.3
115,1369.9
116,1324.8
117,1278.7
118,1247.4
119,1213.7
120,1175.3
121,1156.2
122,1138.2
123,1123.8
124,1150.6
125,1137
126,1039.1
127,1064.9
128,1079.3
129,1068.3
130,1091.6
131,1092.5
132,1016.7
133,988.6
134,989
135,986.2
136,991.9
137,1184.1
138,1346.6
139,1315.5
140,1288.7
141,1284.1
142,1245.2
143,1204.6
144,1166.3
145,1140.9
146,1114.2
147,1107.5
148,1134.6
149,1111.1
150,1054
151,1119.1
152,1211.1
153,1241.2
154,1188
155,1128.9
156,1095.7
157,1102.7
158,1067.9
159,1055.5
160,1057.1
161,1253.5
162,1408.6
163,1403.9
164,1363.5
165,1317.5
166,1283.2
167,1227.6
168,1193.9
169,1155.9
170,1111.8
171,1090.5
172,1112.9
173,1067.8
174,984.1
175,1061.2
176,1111.2
177,1137.1
178,1129.2
179,1117
180,1118.7
181,1131.1
182,1126.3
183,1090.5
184,1122.3
185,1282.2
186,1429.7
187,1407.3
188,1369.9
189,1308.6
190,1284.3
191,1249.8
192,1211.2
193,1177.4
194,1164
195,1144.8
196,1129.1
197,1099
198,1071.8
