t,DNI,t_ambt,Wt,Qt,GHI,day,SF,DHI
0,0,27.36,7.84,0,0,1,0.514482694,0
1,0,27.25,7.62,0,0,1,0.16620863,0
2,0,27.15,7.72,0,0,1,0.25342147,0
3,0,27.08,8.02,0,0,1,0.956635232,0
4,0,27.05,8.34,0,0,1,0.530485103,0
5,0,27.04,8.57,0,0,1,0.613528678,0
6,0,27.02,8.68,0,98.4,1,0.376845668,57.4
7,0.7,26.98,8.67,0,422.4,1,0.853560939,246.4
8,76.42,26.99,8.61,0,760.8,1,0.71650027,443.8
9,244.59,27.03,8.5,0,992.4,1,0.54039313,578.9
10,415.65,27.07,8.35,0,1153.2,1,0.683327163,672.7
11,566.92,27.12,8.08,0,1.236,1,0.700992401,0.721
12,669.09,27.15,7.77,0,1.2312,1,0.634955581,0.7182
13,696.92,27.18,7.47,0,1142.4,1,0.869044686,666.4
14,632.13,27.19,7.25,0,976.8,1,0.878485545,569.8
15,536.54,27.2,7.15,0,742.8,1,0.914020494,433.3
16,376.31,27.22,7.1,0,440.4,1,0.215874093,256.9
17,79.46,27.22,7.14,0,147.6,1,0.696479415,86.1
18,0,27.21,7.29,0,0,1,0.145386324,0
19,0,27.19,7.48,0,0,1,0.077564709,0
20,0,27.19,7.45,0,0,1,0.282804782,0
21,0,27.17,7.07,0,0,1,0.299908097,0
22,0,27.12,6.54,0,0,1,0.951735823,0
23,0,27.04,6.13,0,0,1,0.889262359,0
24,0,26.95,6.09,0,0,2,0.223918548,0
25,0,26.9,6.33,0,0,2,0.918828266,0
26,0,26.87,6.69,0,0,2,0.205392797,0
27,0,26.87,6.97,0,0,2,0.700188492,0
28,0,26.9,7.01,0,0,2,0.313959778,0
29,0,26.98,6.96,0,0,2,0.344124768,0
30,0,27.05,7.11,0,98.4,2,0.48254294,57.4
31,0.45,27.13,7.39,0,422.4,2,0.494334723,246.4
32,69.44,27.23,7.62,0,760.8,2,0.010152657,443.8
33,226.46,27.33,7.75,0,992.4,2,0.612886014,578.9
34,320.87,27.4,7.94,0,1153.2,2,0.697002784,672.7
35,492.13,27.43,8.17,0,1.236,2,0.007633905,0.721
36,563.35,27.43,8.29,0,1.2312,2,0.506388611,0.7182
37,596.29,27.46,8.27,0,1142.4,2,0.892322735,666.4
38,471.73,27.48,8.23,0,976.8,2,0.214770681,569.8
39,406.54,27.49,8.34,0,742.8,2,0.2061631,433.3
40,289.98,27.48,8.5,0,440.4,2,0.72809158,256.9
41,114.01,27.5,8.63,0,147.6,2,0.689988818,86.1
42,0,27.51,8.72,0,0,2,0.750001605,0
43,0,27.55,8.82,0,0,2,0.294502868,0
44,0,27.55,8.83,0,0,2,0.114901265,0
45,0,27.54,8.8,0,0,2,0.693539236,0
46,0,27.5,8.89,0,0,2,0.123309997,0
47,0,27.44,9.01,0,0,2,0.298305058,0
48,0,27.38,8.97,0,0,3,0.23638453,0
49,0,27.29,8.8,0,0,3,0.645241484,0
50,0,27.18,8.58,0,0,3,0.505429375,0
51,0,27.02,8.36,0,0,3,0.68421492,0
52,0,26.89,8.21,0,0,3,0.148439515,0
