t,demand
0,143
1,136.1
2,125.8
3,120.7
4,106.7
5,100.1
6,89.9
7,85.2
8,91.2
9,99.6
10,111
11,121.2
12,124.5
13,121.9
14,111.6
15,108.4
16,108.9
17,109.4
18,142.3
19,152.8
20,146.6
21,134.7
22,119.9
23,107.8
24,99.8
25,94.9
26,91.7
27,89
28,86.4
29,84.4
30,82.5
31,91.2
32,111.6
33,122.8
34,128.9
35,136
36,137.8
37,143
38,147.4
39,147.8
40,145.5
41,145.1
42,176
43,194
44,180
45,162.9
46,137.6
47,110.7
48,98.7
49,93
50,89.2
51,85.8
52,84.9
53,86.4
54,83.6
55,96.4
56,113.8
57,125.6
58,132.1
59,142.7
60,142.6
61,149.6
62,149.3
63,151.1
64,149.8
65,147.3
66,183.8
67,193.1
68,174.5
69,159.5
70,133.1
71,110.3
72,99.2
73,93.2
74,87.6
75,85.7
76,85.6
77,88.7
78,86.7
79,103.3
80,129
81,143.7
82,150.1
83,158.7
84,155.3
85,156.1
86,155.7
87,155.6
88,156.4
89,151.4
90,179.1
91,199.8
92,183.3
93,170.3
94,145.4
95,122.5
96,110.2
97,107.8
98,104.8
99,102.9
100,101.4
101,97.9
102,93.1
103,101.7
104,114.6
105,127.4
106,130.9
107,146
108,150.8
109,153.3
110,165.7
111,168.3
112,162.3
113,162.4
114,191.1
115,192.9
116,177.8
117,169
118,145.6
119,123.9
120,111.3
121,104.3
122,99.9
123,96.9
124,95.9
125,94.8
126,94.4
127,107.5
128,117.9
129,124.9
130,130.2
131,139.6
132,145.9
133,146.2
134,147.8
135,147.4
136,148.9
137,150.3
138,188.2
139,201.5
140,191.8
141,163.8
142,142.5
143,127.3
144,114.5
145,106.3
146,98.9
147,93.1
148,90.6
149,88.3
150,84.5
151,98.5
152,110.5
153,117.1
154,118.4
155,122.7
156,124.3
157,119.8
158,119.4
159,116.6
160,78
161,120.7
162,153.4
163,172
164,165.5
165,153.6
166,134.4
167,114.7
168,99.3
169,92.6
170,89.6
171,87.1
172,84.7
173,84.6
174,81
175,88.6
176,98.8
177,110.1
178,121.1
179,128.3
180,135.3
181,135.5
182,131.2
183,128.5
184,129.8
185,129.5
186,165.1
187,183.3
188,177.8
189,162.7
190,136.2
191,115.9
192,100.3
193,94.2
194,90.2
195,89
196,89.2
197,85.7
198,82.3
199,96.8
200,110.6
201,118.5
202,133.4
203,148.7
204,150.5
205,136.3
206,129.4
207,128
208,128.8
209,132.4
210,167.6
211,187.5
212,177.5
213,158.2
214,129.8
215,109.3
216,95.5
217,88.5
218,86.7
219,85.4
220,86.6
221,87.8
222,86.5
223,99.3
224,117.7
225,123.8
226,127.3
227,132.2
228,129.9
229,137.3
230,138.2
231,140.3
232,138.2
233,133.6
234,168.4
235,186.6
236,178.8
237,164
238,138.2
239,113.7
240,99.8
241,94.7
242,91.7
243,89.1
244,88.7
245,88.8
246,88.7
247,101
248,120.5
249,130.8
250,134.1
251,139.1
252,138.7
253,139.3
254,144.7
255,146.6
256,145.2
257,143.8
258,175.7
259,192.6
260,182.3
261,168.3
262,142.2
263,118.3
264,100
265,92.9
266,90.1
267,87.5
268,86.5
269,85.4
270,83.1
271,101.3
272,118.1
273,128.1
274,134.2
275,139.9
276,139.9
277,143.2
278,149.4
279,143
280,136.4
281,136.2
282,162.8
283,182.2
284,174.9
285,156.7
286,134.8
287,112
288,98.1
289,91.3
290,85.8
291,81.9
292,81.2
293,78.7
294,75.7
295,92.4
296,103.4
297,108.4
298,120.7
299,124.8
