t,DNI,t_ambt,Wt,Qt,GHI,day,SF,DHI
0,0,24.69,0.74,0,0,1,0.514482694,0
1,0,24.52,0.7,0,0,1,0.16620863,0
2,0,24.4,0.65,0,0,1,0.25342147,0
3,0,24.2,0.71,0,0,1,0.956635232,0
4,0,23.9,0.88,0,0,1,0.530485103,0
5,0,23.7,0.95,0,0,1,0.613528678,0
6,0,23.8,0.86,0,98.4,1,0.376845668,57.4
7,5.56,24.85,0.33,0,422.4,1,0.853560939,246.4
8,96.7,26.04,0.34,0,760.8,1,0.71650027,443.8
9,209.35,27.01,0.65,0,992.4,1,0.54039313,578.9
10,303.5,27.56,0.85,0,1153.2,1,0.683327163,672.7
11,362.95,27.98,0.94,0,1.236,1,0.700992401,0.721
12,433.62,28.3,0.93,0,1.2312,1,0.634955581,0.7182
13,644.13,28.43,0.84,0,1142.4,1,0.869044686,666.4
14,806.57,28.25,0.6,0,976.8,1,0.878485545,569.8
15,401.54,27.72,0.33,0,742.8,1,0.914020494,433.3
16,396.45,27.15,0.15,0,440.4,1,0.215874093,256.9
17,271.54,26.65,0.27,0,147.6,1,0.696479415,86.1
18,62.42,26.03,0.59,0,0,1,0.145386324,0
19,0,25.46,0.86,0,0,1,0.077564709,0
20,0,24.96,0.94,0,0,1,0.282804782,0
21,0,24.57,0.84,0,0,1,0.299908097,0
22,0,24.4,0.65,0,0,1,0.951735823,0
23,0,24.26,0.69,0,0,1,0.889262359,0
24,0,24.08,0.71,0,0,2,0.223918548,0
25,0,23.86,0.7,0,0,2,0.918828266,0
26,0,23.63,0.69,0,0,2,0.205392797,0
27,0,23.4,0.66,0,0,2,0.700188492,0
28,0,23.16,0.63,0,0,2,0.313959778,0
29,0,22.9,0.62,0,0,2,0.344124768,0
30,0,23.56,0.62,0,98.4,2,0.48254294,57.4
31,3.47,24.73,0.63,0,422.4,2,0.494334723,246.4
32,62.8,25.8,0.71,0,760.8,2,0.010152657,443.8
33,225.46,26.98,0.72,0,992.4,2,0.612886014,578.9
34,361.16,27.9,0.71,0,1153.2,2,0.697002784,672.7
35,500.59,28.51,0.69,0,1.236,2,0.007633905,0.721
36,638.78,28.82,0.65,0,1.2312,2,0.506388611,0.7182
37,650.6,28.8,0.62,0,1142.4,2,0.892322735,666.4
38,483.65,28.54,0.6,0,976.8,2,0.214770681,569.8
39,686.81,28.1,0.51,0,742.8,2,0.2061631,433.3
40,552.81,27.56,0.33,0,440.4,2,0.72809158,256.9
41,335.8,26.87,0.37,0,147.6,2,0.689988818,86.1
42,16.64,26.36,0.71,0,0,2,0.750001605,0
43,0,26.01,0.91,0,0,2,0.294502868,0
44,0,25.59,1.07,0,0,2,0.114901265,0
45,0,25.19,1.19,0,0,2,0.693539236,0
46,0,24.71,1.3,0,0,2,0.123309997,0
47,0,24.23,1.37,0,0,2,0.298305058,0
48,0,23.79,1.34,0,0,3,0.23638453,0
49,0,23.52,1.15,0,0,3,0.645241484,0
50,0,23.37,1.03,0,0,3,0.505429375,0
51,0,23.3,1.03,0,0,3,0.68421492,0
52,0,23.39,1.06,0,0,3,0.148439515,0
53,0,23.61,0.86,0,0,3,0.112506437,0
54,0,23.88,0.65,0,98.4,3,0.678086894,57.4
55,4.88,24.65,0.32,0,422.4,3,0.902990514,246.4
56,119.17,25.82,0.4,0,760.8,3,0.000152914,443.8
57,293.23,27.05,0.66,0,992.4,3,0.220160984,578.9
58,498.98,28.07,0.81,0,1153.2,3,0.346982653,672.7
59,677.56,28.62,0.81,0,1.236,3,0.588323097,0.721
60,696.79,28.86,0.72,0,1.2312,3,0.670366405,0.7182
61,730.85,28.88,0.62,0,1142.4,3,0.629386283,666.4
62,850.23,28.69,0.54,0,976.8,3,0.227475428,569.8
63,781.41,28.23,0.39,0,742.8,3,0.879743859,433.3
64,595.69,27.59,0.3,0,440.4,3,0.20586291,256.9
65,311.13,26.86,0.44,0,147.6,3,0.753187752,86.1
66,19.93,25.87,1.01,0,0,3,0.057705822,0
67,0,25.18,1.08,0,0,3,0.063602228,0
68,0,24.9,0.75,0,0,3,0.475189364,0
69,0,24.79,0.74,0,0,3,0.051870343,0
70,0,24.58,0.65,0,0,3,0.197451031,0
71,0,24.3,0.56,0,0,3,0.414402656,0
72,0,24.01,0.92,0,0,4,0.586458839,0
73,0,23.8,1.06,0,0,4,0.390415111,0
74,0,23.65,1.16,0,0,4,0.368715973,0
75,0,23.53,1.18,0,0,4,0.782914313,0
76,0,23.27,1.26,0,0,4,0.985905404,0
77,0,22.98,1.09,0,0,4,0.644594722,0
78,0,23.71,0.76,0,98.4,4,0.086877903,57.4
79,3.95,25.04,0.6,0,422.4,4,0.380216874,246.4
80,103.02,26.3,0.65,0,760.8,4,0.202017789,443.8
81,266.9,27.37,0.74,0,992.4,4,0.468796877,578.9
82,428.87,28.23,0.75,0,1153.2,4,0.503684815,672.7
83,607.76,28.82,0.68,0,1.236,4,0.036161785,0.721
84,698.72,29.14,0.55,0,1.2312,4,0.28481896,0.7182
85,735.36,29.22,0.44,0,1142.4,4,0.902766601,666.4
86,727.79,28.91,0.37,0,976.8,4,0.908751889,569.8
87,666.28,28.4,0.29,0,742.8,4,0.416687329,433.3
88,461.98,28.1,0.33,0,440.4,4,0.649118123,256.9
89,305.1,27.73,0.47,0,147.6,4,0.051935303,86.1
90,12.6,27.03,0.52,0,0,4,0.923969765,0
91,0,26.53,0.81,0,0,4,0.876294485,0
92,0,26.03,1.01,0,0,4,0.50607269,0
93,0,25.48,1.18,0,0,4,0.819993239,0
94,0,25.12,1.21,0,0,4,0.44900289,0
95,0,24.96,1.12,0,0,4,0.561207744,0
96,0,24.81,1.01,0,0,5,0.631195059,0
97,0,24.62,0.94,0,0,5,0.998175946,0
98,0,24.3,0.97,0,0,5,0.018412806,0
99,0,23.97,1.02,0,0,5,0.063774317,0
100,0,23.72,1.03,0,0,5,0.305284139,0
101,0,23.55,1.01,0,0,5,0.379000633,0
102,0,23.69,0.78,0,98.4,5,0.331605173,57.4
103,4.27,24.87,0.36,0,422.4,5,0.77531133,246.4
104,110.62,26.09,0.31,0,760.8,5,0.138474419,443.8
105,304.13,26.86,0.28,0,992.4,5,0.395574044,578.9
106,534.82,27.18,0.24,0,1153.2,5,0.582941122,672.7
107,619.34,27.35,0.18,0,1.236,5,0.669738176,0.721
108,816.5,27.49,0.13,0,1.2312,5,0.513379391,0.7182
109,757.23,27.69,0.15,0,1142.4,5,0.260182929,666.4
110,587.26,27.58,0.23,0,976.8,5,0.716680707,569.8
111,510.13,27.26,0.25,0,742.8,5,0.016040158,433.3
112,386.62,26.75,0.24,0,440.4,5,0.972179036,256.9
113,335.13,26.1,0.48,0,147.6,5,0.060796545,86.1
114,55.64,25.24,0.95,0,0,5,0.517955429,0
115,0,24.7,0.97,0,0,5,0.508726349,0
116,0,24.44,0.68,0,0,5,0.134398812,0
117,0,24.31,0.7,0,0,5,0.778602556,0
118,0,24.15,0.63,0,0,5,0.463426991,0
119,0,23.93,0.83,0,0,5,0.531835393,0
120,0,23.65,1.01,0,0,6,0.599705806,0
121,0,23.49,1.1,0,0,6,0.314357898,0
122,0,23.53,1.02,0,0,6,0.748390482,0
123,0,23.63,0.87,0,0,6,0.809065186,0
124,0,23.69,0.75,0,0,6,0.497257271,0
125,0,23.58,0.78,0,0,6,0.367370773,0
126,0,23.58,0.82,0,98.4,6,0.583113403,57.4
127,3.82,24.65,0.48,0,422.4,6,0.863883893,246.4
128,75.63,25.8,0.29,0,760.8,6,0.528391435,443.8
129,271.8,26.87,0.22,0,992.4,6,0.412076396,578.9
130,425.44,27.71,0.12,0,1153.2,6,0.055287068,672.7
131,475.4,28.55,0.18,0,1.236,6,0.912863886,0.721
132,653.88,29.05,0.25,0,1.2312,6,0.811467269,0.7182
133,775.25,29.15,0.25,0,1142.4,6,0.523348959,666.4
134,806.27,28.95,0.23,0,976.8,6,0.243096483,569.8
135,716.59,28.5,0.17,0,742.8,6,0.531937751,433.3
136,615.68,27.95,0.1,0,440.4,6,0.747180544,256.9
137,358.02,27.44,0.29,0,147.6,6,0.92592476,86.1
138,5.09,27.2,0.42,0,0,6,0.832074201,0
139,0,26.69,0.48,0,0,6,0.092341935,0
140,0,26.05,0.74,0,0,6,0.41709416,0
141,0,25.54,0.99,0,0,6,0.188217369,0
142,0,25.26,1.03,0,0,6,0.030644057,0
143,0,25.1,0.96,0,0,6,0.72414009,0
144,0,24.88,0.9,0,0,7,0.77099744,0
145,0,24.48,0.98,0,0,7,0.160787313,0
146,0,24.01,1.11,0,0,7,0.260900033,0
147,0,23.62,1.21,0,0,7,0.519866644,0
148,0,23.42,1.24,0,0,7,0.456166483,0
149,0,23.28,1.26,0,0,7,0.217236639,0
150,0,23.68,0.89,0,98.4,7,0.837155348,57.4
151,2.14,24.57,0.52,0,422.4,7,0.173990029,246.4
152,54.52,25.37,0.26,0,760.8,7,0.959091561,443.8
153,143.96,26.11,0.34,0,992.4,7,0.657867002,578.9
154,189.92,26.61,0.38,0,1153.2,7,0.958802236,672.7
155,332.87,27.23,0.37,0,1.236,7,0.900879667,0.721
156,379.84,27.51,0.35,0,1.2312,7,0.046423165,0.7182
