t,DNI,t_ambt,Wt,Qt,GHI,day,SF,DHI
0,0,24.69,0.74,0,0,1,0,0
1,0,24.52,0.7,0,0,1,0,0
2,0,24.4,0.65,0,0,1,0,0
3,0,24.2,0.71,0,0,1,0,0
4,0,23.9,0.88,0,0,1,0,0
5,0,23.7,0.95,0,0,1,0.046,0
6,36,23.8,0.86,0,9,1,0.132,6
7,168,24.85,0.33,0,124,1,0.106,92
8,283,26.04,0.34,0,314,1,0.005,181
9,357,27.01,0.65,0,485,1,0.025,268
10,351,27.56,0.85,0,626,1,0.045,344
11,394,27.98,0.94,0,732,1,0.156,383
12,23,28.3,0.93,0,416,1,0.241,395
13,0,28.43,0.84,0,66,1,0.16,66
14,0,28.25,0.6,0,30,1,0.706,30
15,0,27.72,0.33,0,148,1,0.327,148
16,31,27.15,0.15,0,272,1,0.008,258
17,165,26.65,0.27,0,191,1,0.133,140
18,78,26.03,0.59,0,44,1,0,31
19,0,25.46,0.86,0,0,1,0,0
20,0,24.96,0.94,0,0,1,0.006,0
21,0,24.57,0.84,0,0,1,0.009,0
22,0,24.4,0.65,0,0,1,0.009,0
23,0,24.26,0.69,0,0,1,0.248,0
24,0,24.08,0.71,0,0,2,0.45,0
25,0,23.86,0.7,0,0,2,0.447,0
26,0,23.63,0.69,0,0,2,0.511,0
27,0,23.4,0.66,0,0,2,0.457,0
28,0,23.16,0.63,0,0,2,0.455,0
29,0,22.9,0.62,0,0,2,0.55,0
30,2,23.56,0.62,0,5,2,0.599,5
31,161,24.73,0.63,0,126,2,0.916,86
32,255,25.8,0.71,0,307,2,0.94,187
33,663,26.98,0.72,0,564,2,0.875,139
34,788,27.9,0.71,0,751,2,0.825,129
35,823,28.51,0.69,0,870,2,0.793,134
36,783,28.82,0.65,0,905,2,0.707,170
37,649,28.8,0.62,0,847,2,0.626,246
38,307,28.54,0.6,0,590,2,0.345,329
39,157,28.1,0.51,0,440,2,0.264,334
40,423,27.56,0.33,0,392,2,0.211,179
41,537,26.87,0.37,0,250,2,0.134,75
42,181,26.36,0.71,0,52,2,0.033,25
43,0,26.01,0.91,0,0,2,0.051,0
44,0,25.59,1.07,0,0,2,0.192,0
45,0,25.19,1.19,0,0,2,0.306,0
46,0,24.71,1.3,0,0,2,0.078,0
47,0,24.23,1.37,0,0,2,0.055,0
48,0,23.79,1.34,0,0,3,0.421,0
49,0,23.52,1.15,0,0,3,0.445,0
50,0,23.37,1.03,0,0,3,0.21,0
51,0,23.3,1.03,0,0,3,0,0
52,0,23.39,1.06,0,0,3,0,0
53,0,23.61,0.86,0,0,3,0.001,0
54,29,23.88,0.65,0,8,3,0.147,5
