t,demand
0,18764
1,19192.5
2,19085.6
3,18736
4,18428.2
5,18224
6,17605.7
7,17114.6
8,17979.6
9,18675.9
10,19372.2
11,19680.4
12,19607.4
13,19536.6
14,19473.9
15,19402.7
16,19142.3
17,19118.3
18,20587.1
19,21569.1
20,21519.9
21,21301.7
22,21314.7
23,20917.3
24,20153
25,19495.6
26,18917
27,18344.7
28,17954
29,17731.9
30,17648.5
31,18098.8
32,20381.7
33,23359.7
34,24307.7
35,24181.7
36,22660.2
37,20624.8
38,21508.8
39,23958
40,24680.4
41,24286.8
42,24663.5
43,24916.4
44,23764.9
45,22750.3
46,22365.8
47,21887.2
48,20894.1
49,20072.5
50,19375.2
51,18780.9
52,18130.5
53,17845.8
54,17837.7
55,18228.3
56,20468.2
57,23314.1
58,22785.9
59,23647.6
60,21919.6
61,20255.1
62,20844.9
63,22559
64,22064.9
65,21450.4
66,21876.2
67,20743.9
68,21478.9
69,20569
70,20044.4
71,19315.3
72,18467.1
73,17803.1
74,17366.1
75,15706.8
76,16295.2
77,16234.8
78,16340
79,16642
80,18573.4
81,21002.5
82,21938.2
83,22081.1
84,21377.7
85,19740.8
86,20661.6
87,22474.8
88,22723.9
89,22550.2
90,23089.6
91,23204.8
92,22292.9
93,21330.1
94,20854.6
95,20193
96,19214.3
97,18444.9
98,17870.8
99,17477.1
100,17142.7
101,16985.6
102,17013.9
103,17193.8
104,19014.1
105,21511.6
106,22696.1
107,22841.3
108,21473.8
109,20450.6
110,21459.4
111,23034.6
112,22859
113,22385.2
114,23014.4
115,20924.7
116,21071.6
117,20750.1
118,20512.1
119,19845.1
120,19118.1
121,18072.5
122,17307.4
123,17177.4
124,15570.2
125,16460.4
126,16637.3
127,16695.5
128,18129.3
129,20438.5
130,19976.9
131,21084.3
132,20220.9
133,18497.6
134,18817
135,20698.6
136,20726.4
137,20589.4
138,21532.2
139,21943.6
140,21180.9
141,20273.5
142,19772.6
143,19187.3
144,18488.1
145,18063.5
146,17544.7
147,16906.6
148,16590.1
149,15577.6
150,16212.5
151,16391.9
152,17241.6
153,18294.4
154,17950.8
155,19201.2
156,19263
157,17056.2
158,16920.2
159,17247.3
160,17435.3
161,18604.9
162,20227.1
163,21273.8
164,20261.4
165,19521.8
166,19095.5
167,18381.8
168,17514.1
169,16908.4
170,16386.4
171,15917.8
172,15601.2
173,15474.4
174,15403.7
175,15404.5
176,16421.7
177,18649.3
178,20297.6
179,20567.6
180,20257.6
181,18709.9
182,18457.4
183,18604.7
184,18571.7
185,20020.8
186,21582.6
187,22363.4
188,21446.5
189,20780
190,20399.5
191,19808.3
192,18997
193,18353
194,17734.6
195,16973.7
196,15516.3
197,16324.3
198,16400.6
199,16982.8
200,18653.2
201,20902.3
202,22076.4
203,22451.9
204,21458.1
205,20815
206,22966.3
207,24990.9
208,25061.1
209,24297
210,24575.1
211,24550.5
