t,DNI,t_ambt,Wt,Qt,GHI,day,SF,DHI
0,0,27.39,7.81,0,0,1,0.514482694,0
1,0,27.3,7.86,0,0,1,0.16620863,0
2,0,27.23,7.99,0,0,1,0.25342147,0
3,0,27.16,8.21,0,0,1,0.956635232,0
4,0,27.17,8.4,0,0,1,0.530485103,0
5,0,27.19,8.56,0,0,1,0.613528678,0
6,0,27.23,8.68,0,98.4,1,0.376845668,57.4
7,0.72,27.26,8.77,0,422.4,1,0.853560939,246.4
8,77.4,27.28,8.84,0,760.8,1,0.71650027,443.8
9,254.07,27.3,8.84,0,992.4,1,0.54039313,578.9
10,433.63,27.32,8.73,0,1153.2,1,0.683327163,672.7
11,572.44,27.33,8.49,0,1.236,1,0.700992401,0.721
12,677.12,27.31,8.22,0,1.2312,1,0.634955581,0.7182
13,663.26,27.27,7.97,0,1142.4,1,0.869044686,666.4
14,646.5,27.25,7.81,0,976.8,1,0.878485545,569.8
15,465.16,27.25,7.81,0,742.8,1,0.914020494,433.3
16,396.83,27.28,7.91,0,440.4,1,0.215874093,256.9
17,131.46,27.3,8.12,0,147.6,1,0.696479415,86.1
18,0,27.32,8.25,0,0,1,0.145386324,0
19,0,27.35,8.15,0,0,1,0.077564709,0
20,0,27.37,7.78,0,0,1,0.282804782,0
21,0,27.36,7.28,0,0,1,0.299908097,0
22,0,27.3,6.98,0,0,1,0.951735823,0
23,0,27.2,7.04,0,0,1,0.889262359,0
24,0,27.1,7.25,0,0,2,0.223918548,0
25,0,27.01,7.43,0,0,2,0.918828266,0
26,0,26.94,7.5,0,0,2,0.205392797,0
27,0,26.87,7.45,0,0,2,0.700188492,0
28,0,26.85,7.34,0,0,2,0.313959778,0
29,0,26.87,7.3,0,0,2,0.344124768,0
30,0,26.91,7.42,0,98.4,2,0.48254294,57.4
31,0.55,26.97,7.63,0,422.4,2,0.494334723,246.4
32,68.72,27.05,7.87,0,760.8,2,0.010152657,443.8
33,231.87,27.12,8.16,0,992.4,2,0.612886014,578.9
34,302.58,27.16,8.41,0,1153.2,2,0.697002784,672.7
35,401.6,27.23,8.52,0,1.236,2,0.007633905,0.721
36,518.08,27.26,8.57,0,1.2312,2,0.506388611,0.7182
37,628.51,27.29,8.66,0,1142.4,2,0.892322735,666.4
38,468.38,27.32,8.87,0,976.8,2,0.214770681,569.8
39,402.27,27.38,9.12,0,742.8,2,0.2061631,433.3
40,257.78,27.44,9.21,0,440.4,2,0.72809158,256.9
41,138.07,27.48,9.2,0,147.6,2,0.689988818,86.1
42,0,27.51,9.18,0,0,2,0.750001605,0
43,0,27.53,9.2,0,0,2,0.294502868,0
44,0,27.51,9.28,0,0,2,0.114901265,0
45,0,27.5,9.38,0,0,2,0.693539236,0
46,0,27.48,9.49,0,0,2,0.123309997,0
47,0,27.44,9.62,0,0,2,0.298305058,0
48,0,27.4,9.68,0,0,3,0.23638453,0
49,0,27.34,9.74,0,0,3,0.645241484,0
50,0,27.26,9.72,0,0,3,0.505429375,0
51,0,27.16,9.68,0,0,3,0.68421492,0
52,0,27.08,9.52,0,0,3,0.148439515,0
53,0,27,9.32,0,0,3,0.112506437,0
54,0,26.97,9.1,0,98.4,3,0.678086894,57.4
55,0.4,26.97,8.89,0,422.4,3,0.902990514,246.4
56,66.74,26.98,8.71,0,760.8,3,0.000152914,443.8
57,166.1,27,8.55,0,992.4,3,0.220160984,578.9
58,268.77,27.04,8.44,0,1153.2,3,0.346982653,672.7
59,495.03,27.03,8.38,0,1.236,3,0.588323097,0.721
60,535.26,26.98,8.5,0,1.2312,3,0.670366405,0.7182
61,481.61,26.93,8.78,0,1142.4,3,0.629386283,666.4
62,239.16,26.9,9.26,0,976.8,3,0.227475428,569.8
63,284.37,26.87,9.87,0,742.8,3,0.879743859,433.3
64,248.9,26.89,10.58,0,440.4,3,0.20586291,256.9
65,115.66,26.9,11.13,0,147.6,3,0.753187752,86.1
66,0,26.89,11.57,0,0,3,0.057705822,0
67,0,26.85,11.95,0,0,3,0.063602228,0
68,0,26.82,12.24,0,0,3,0.475189364,0
69,0,26.76,12.47,0,0,3,0.051870343,0
70,0,26.69,12.5,0,0,3,0.197451031,0
71,0,26.59,12.4,0,0,3,0.414402656,0
72,0,26.52,12.29,0,0,4,0.586458839,0
73,0,26.44,12.24,0,0,4,0.390415111,0
74,0,26.39,12.27,0,0,4,0.368715973,0
75,0,26.33,12.34,0,0,4,0.782914313,0
76,0,26.29,12.39,0,0,4,0.985905404,0
77,0,26.31,12.47,0,0,4,0.644594722,0
78,0,26.42,12.57,0,98.4,4,0.086877903,57.4
79,0.5,26.59,12.68,0,422.4,4,0.380216874,246.4
80,46.9,26.76,12.91,0,760.8,4,0.202017789,443.8
81,126.41,26.89,13.03,0,992.4,4,0.468796877,578.9
82,219.82,26.98,13.02,0,1153.2,4,0.503684815,672.7
83,367.12,27.04,12.88,0,1.236,4,0.036161785,0.721
84,291.11,27.03,12.5,0,1.2312,4,0.28481896,0.7182
85,309.81,26.98,12.17,0,1142.4,4,0.902766601,666.4
86,221.47,26.9,12.09,0,976.8,4,0.908751889,569.8
87,162.4,26.78,12.11,0,742.8,4,0.416687329,433.3
88,66.04,26.63,12.12,0,440.4,4,0.649118123,256.9
89,47.36,26.62,12.13,0,147.6,4,0.051935303,86.1
90,0,26.7,12.11,0,0,4,0.923969765,0
91,0,26.92,12.03,0,0,4,0.876294485,0
92,0,27.15,11.91,0,0,4,0.50607269,0
93,0,27.3,11.72,0,0,4,0.819993239,0
94,0,27.29,11.53,0,0,4,0.44900289,0
95,0,27.18,11.3,0,0,4,0.561207744,0
96,0,27.04,11.07,0,0,5,0.631195059,0
97,0,26.92,11.03,0,0,5,0.998175946,0
98,0,26.87,11.19,0,0,5,0.018412806,0
99,0,26.86,11.49,0,0,5,0.063774317,0
100,0,26.87,11.79,0,0,5,0.305284139,0
101,0,26.87,11.95,0,0,5,0.379000633,0
102,0,26.89,12,0,98.4,5,0.331605173,57.4
103,0.1,26.96,12.03,0,422.4,5,0.77531133,246.4
104,38.5,27.03,12.04,0,760.8,5,0.138474419,443.8
105,223.9,27.07,12,0,992.4,5,0.395574044,578.9
106,383.21,27.08,11.88,0,1153.2,5,0.582941122,672.7
107,493.97,27.07,11.68,0,1.236,5,0.669738176,0.721
108,534.27,27.04,11.5,0,1.2312,5,0.513379391,0.7182
109,604.51,26.99,11.36,0,1142.4,5,0.260182929,666.4
110,678.41,26.92,11.3,0,976.8,5,0.716680707,569.8
111,482.6,26.87,11.3,0,742.8,5,0.016040158,433.3
112,285.85,26.8,11.28,0,440.4,5,0.972179036,256.9
113,101.85,26.79,11.26,0,147.6,5,0.060796545,86.1
114,0,26.83,11.24,0,0,5,0.517955429,0
115,0,26.9,11.22,0,0,5,0.508726349,0
116,0,26.98,11.21,0,0,5,0.134398812,0
117,0,27.01,11.15,0,0,5,0.778602556,0
118,0,26.96,11.03,0,0,5,0.463426991,0
119,0,26.8,10.84,0,0,5,0.531835393,0
120,0,26.59,10.71,0,0,6,0.599705806,0
121,0,26.43,10.77,0,0,6,0.314357898,0
122,0,26.33,10.96,0,0,6,0.748390482,0
123,0,26.3,11.14,0,0,6,0.809065186,0
124,0,26.31,11.27,0,0,6,0.497257271,0
125,0,26.33,11.35,0,0,6,0.367370773,0
126,0,26.37,11.4,0,98.4,6,0.583113403,57.4
127,0.35,26.43,11.39,0,422.4,6,0.863883893,246.4
128,53.78,26.51,11.35,0,760.8,6,0.528391435,443.8
129,189.58,26.53,11.26,0,992.4,6,0.412076396,578.9
130,305.2,26.54,11.12,0,1153.2,6,0.055287068,672.7
131,380.49,26.55,11.01,0,1.236,6,0.912863886,0.721
132,446.9,26.53,11.02,0,1.2312,6,0.811467269,0.7182
133,392.21,26.48,11.09,0,1142.4,6,0.523348959,666.4
134,196.92,26.4,11.18,0,976.8,6,0.243096483,569.8
135,159.23,26.36,11.27,0,742.8,6,0.531937751,433.3
136,149.84,26.3,11.44,0,440.4,6,0.747180544,256.9
137,125.37,26.27,11.66,0,147.6,6,0.92592476,86.1
138,0,26.28,11.88,0,0,6,0.832074201,0
139,0,26.32,12.04,0,0,6,0.092341935,0
140,0,26.38,12.09,0,0,6,0.41709416,0
141,0,26.45,11.94,0,0,6,0.188217369,0
142,0,26.49,11.76,0,0,6,0.030644057,0
143,0,26.51,11.52,0,0,6,0.72414009,0
144,0,26.52,11.2,0,0,7,0.77099744,0
145,0,26.51,10.98,0,0,7,0.160787313,0
146,0,26.47,10.84,0,0,7,0.260900033,0
147,0,26.46,10.72,0,0,7,0.519866644,0
148,0,26.48,10.27,0,0,7,0.456166483,0
149,0,26.51,9.81,0,0,7,0.217236639,0
150,0,26.51,9.55,0,98.4,7,0.837155348,57.4
151,0.25,26.55,9.29,0,422.4,7,0.173990029,246.4
152,53.57,26.61,8.99,0,760.8,7,0.959091561,443.8
153,168.03,26.69,8.63,0,992.4,7,0.657867002,578.9
154,305.82,26.76,8.16,0,1153.2,7,0.958802236,672.7
155,448.55,26.8,7.5,0,1.236,7,0.900879667,0.721
156,353.47,26.78,6.83,0,1.2312,7,0.046423165,0.7182
157,376.93,26.79,6.18,0,1142.4,7,0.057131457,666.4
