t,DNI,t_ambt,Wt,Qt,GHI,day,SF,DHI
0,0,27.39,7.81,0,0,1,0.514482694,0
1,0,27.3,7.86,0,0,1,0.16620863,0
2,0,27.23,7.99,0,0,1,0.25342147,0
3,0,27.16,8.21,0,0,1,0.956635232,0
4,0,27.17,8.4,0,0,1,0.530485103,0
5,0,27.19,8.56,0,0,1,0.613528678,0
6,4,27.23,8.68,0,2,1,0.376845668,1
7,167,27.26,8.77,0,92,1,0.853560939,63
8,626,27.28,8.84,0,318,1,0.71650027,87
9,744,27.3,8.84,0,523,1,0.54039313,110
10,846,27.32,8.73,0,694,1,0.683327163,109
11,863,27.33,8.49,0,795,1,0.700992401,122
12,851,27.31,8.22,0,824,1,0.634955581,135
13,864,27.27,7.97,0,793,1,0.869044686,120
14,807,27.25,7.81,0,680,1,0.878485545,126
15,608,27.25,7.81,0,485,1,0.914020494,150
16,600,27.28,7.91,0,310,1,0.215874093,90
17,251,27.3,8.12,0,95,1,0.696479415,46
18,2,27.32,8.25,0,1,1,0.145386324,1
19,0,27.35,8.15,0,0,1,0.077564709,0
20,0,27.37,7.78,0,0,1,0.282804782,0
21,0,27.36,7.28,0,0,1,0.299908097,0
22,0,27.3,6.98,0,0,1,0.951735823,0
23,0,27.2,7.04,0,0,1,0.889262359,0
24,0,27.1,7.25,0,0,2,0.223918548,0
25,0,27.01,7.43,0,0,2,0.918828266,0
26,0,26.94,7.5,0,0,2,0.205392797,0
27,0,26.87,7.45,0,0,2,0.700188492,0
28,0,26.85,7.34,0,0,2,0.313959778,0
29,0,26.87,7.3,0,0,2,0.344124768,0
30,2,26.91,7.42,0,2,2,0.48254294,1
31,157,26.97,7.63,0,91,2,0.494334723,61
32,479,27.05,7.87,0,283,2,0.010152657,118
33,245,27.12,8.16,0,394,2,0.612886014,252
34,102,27.16,8.41,0,389,2,0.697002784,323
35,127,27.23,8.52,0,441,2,0.007633905,343
36,6,27.26,8.57,0,291,2,0.506388611,287
37,65,27.29,8.66,0,340,2,0.892322735,290
38,2,27.32,8.87,0,324,2,0.214770681,323
39,190,27.38,9.12,0,373,2,0.2061631,277
40,403,27.44,9.21,0,280,2,0.72809158,130
41,110,27.48,9.2,0,82,2,0.689988818,61
42,1,27.51,9.18,0,1,2,0.750001605,1
43,0,27.53,9.2,0,0,2,0.294502868,0
44,0,27.51,9.28,0,0,2,0.114901265,0
45,0,27.5,9.38,0,0,2,0.693539236,0
46,0,27.48,9.49,0,0,2,0.123309997,0
47,0,27.44,9.62,0,0,2,0.298305058,0
48,0,27.4,9.68,0,0,3,0.23638453,0
49,0,27.34,9.74,0,0,3,0.645241484,0
50,0,27.26,9.72,0,0,3,0.505429375,0
51,0,27.16,9.68,0,0,3,0.68421492,0
52,0,27.08,9.52,0,0,3,0.148439515,0
53,0,27,9.32,0,0,3,0.112506437,0
54,0,26.97,9.1,0,1,3,0.678086894,1
55,20,26.97,8.89,0,67,3,0.902990514,62
56,392,26.98,8.71,0,277,3,0.000152914,133
57,313,27,8.55,0,427,3,0.220160984,258
58,221,27.04,8.44,0,508,3,0.346982653,361
59,56,27.03,8.38,0,370,3,0.588323097,328
60,0,26.98,8.5,0,334,3,0.670366405,334
61,0,26.93,8.78,0,218,3,0.629386283,218
62,0,26.9,9.26,0,115,3,0.227475428,115
63,0,26.87,9.87,0,56,3,0.879743859,56
64,0,26.89,10.58,0,79,3,0.20586291,79
65,0,26.9,11.13,0,49,3,0.753187752,49
66,0,26.89,11.57,0,1,3,0.057705822,1
67,0,26.85,11.95,0,0,3,0.063602228,0
68,0,26.82,12.24,0,0,3,0.475189364,0
69,0,26.76,12.47,0,0,3,0.051870343,0
70,0,26.69,12.5,0,0,3,0.197451031,0
71,0,26.59,12.4,0,0,3,0.414402656,0
72,0,26.52,12.29,0,0,4,0.586458839,0
73,0,26.44,12.24,0,0,4,0.390415111,0
74,0,26.39,12.27,0,0,4,0.368715973,0
75,0,26.33,12.34,0,0,4,0.782914313,0
76,0,26.29,12.39,0,0,4,0.985905404,0
77,0,26.31,12.47,0,0,4,0.644594722,0
78,0,26.42,12.57,0,0,4,0.086877903,0
79,0,26.59,12.68,0,39,4,0.380216874,39
80,0,26.76,12.91,0,138,4,0.202017789,138
81,0,26.89,13.03,0,135,4,0.468796877,135
82,13,26.98,13.02,0,271,4,0.503684815,262
83,0,27.04,12.88,0,354,4,0.036161785,354
84,9,27.03,12.5,0,497,4,0.28481896,490
85,106,26.98,12.17,0,551,4,0.902766601,468
86,48,26.9,12.09,0,414,4,0.908751889,379
87,9,26.78,12.11,0,243,4,0.416687329,240
88,70,26.63,12.12,0,223,4,0.649118123,198
89,38,26.62,12.13,0,76,4,0.051935303,70
90,0,26.7,12.11,0,1,4,0.923969765,1
91,0,26.92,12.03,0,0,4,0.876294485,0
92,0,27.15,11.91,0,0,4,0.50607269,0
93,0,27.3,11.72,0,0,4,0.819993239,0
94,0,27.29,11.53,0,0,4,0.44900289,0
95,0,27.18,11.3,0,0,4,0.561207744,0
96,0,27.04,11.07,0,0,5,0.631195059,0
97,0,26.92,11.03,0,0,5,0.998175946,0
98,0,26.87,11.19,0,0,5,0.018412806,0
99,0,26.86,11.49,0,0,5,0.063774317,0
100,0,26.87,11.79,0,0,5,0.305284139,0
101,0,26.87,11.95,0,0,5,0.379000633,0
102,0,26.89,12,0,1,5,0.331605173,1
103,0,26.96,12.03,0,62,5,0.77531133,62
104,0,27.03,12.04,0,178,5,0.138474419,178
105,0,27.07,12,0,285,5,0.395574044,285
106,98,27.08,11.88,0,475,5,0.582941122,405
107,269,27.07,11.68,0,625,5,0.669738176,416
108,148,27.04,11.5,0,606,5,0.513379391,485
109,488,26.99,11.36,0,693,5,0.260182929,312
110,587,26.92,11.3,0,635,5,0.716680707,225
111,65,26.87,11.3,0,345,5,0.016040158,306
112,0,26.8,11.28,0,135,5,0.972179036,135
113,0,26.79,11.26,0,59,5,0.060796545,59
114,0,26.83,11.24,0,1,5,0.517955429,1
115,0,26.9,11.22,0,0,5,0.508726349,0
116,0,26.98,11.21,0,0,5,0.134398812,0
117,0,27.01,11.15,0,0,5,0.778602556,0
118,0,26.96,11.03,0,0,5,0.463426991,0
119,0,26.8,10.84,0,0,5,0.531835393,0
120,0,26.59,10.71,0,0,6,0.599705806,0
121,0,26.43,10.77,0,0,6,0.314357898,0
122,0,26.33,10.96,0,0,6,0.748390482,0
123,0,26.3,11.14,0,0,6,0.809065186,0
124,0,26.31,11.27,0,0,6,0.497257271,0
125,0,26.33,11.35,0,0,6,0.367370773,0
126,0,26.37,11.4,0,0,6,0.583113403,0
127,0,26.43,11.39,0,8,6,0.863883893,8
128,0,26.51,11.35,0,33,6,0.528391435,33
129,0,26.53,11.26,0,67,6,0.412076396,67
130,0,26.54,11.12,0,95,6,0.055287068,95
131,0,26.55,11.01,0,113,6,0.912863886,113
132,0,26.53,11.02,0,124,6,0.811467269,124
133,0,26.48,11.09,0,109,6,0.523348959,109
134,0,26.4,11.18,0,77,6,0.243096483,77
135,0,26.36,11.27,0,46,6,0.531937751,46
136,0,26.3,11.44,0,29,6,0.747180544,29
137,0,26.27,11.66,0,13,6,0.92592476,13
138,0,26.28,11.88,0,0,6,0.832074201,0
139,0,26.32,12.04,0,0,6,0.092341935,0
140,0,26.38,12.09,0,0,6,0.41709416,0
141,0,26.45,11.94,0,0,6,0.188217369,0
142,0,26.49,11.76,0,0,6,0.030644057,0
143,0,26.51,11.52,0,0,6,0.72414009,0
144,0,26.52,11.2,0,0,7,0.77099744,0
145,0,26.51,10.98,0,0,7,0.160787313,0
146,0,26.47,10.84,0,0,7,0.260900033,0
147,0,26.46,10.72,0,0,7,0.519866644,0
148,0,26.48,10.27,0,0,7,0.456166483,0
149,0,26.51,9.81,0,0,7,0.217236639,0
150,0,26.51,9.55,0,0,7,0.837155348,0
151,0,26.55,9.29,0,5,7,0.173990029,5
152,0,26.61,8.99,0,26,7,0.959091561,26
153,0,26.69,8.63,0,60,7,0.657867002,60
154,0,26.76,8.16,0,89,7,0.958802236,89
155,0,26.8,7.5,0,94,7,0.900879667,94
156,0,26.78,6.83,0,87,7,0.046423165,87
157,0,26.79,6.18,0,78,7,0.057131457,78
158,0,26.79,5.57,0,70,7,0.544171674,70
159,0,26.79,5.32,0,58,7,0.059986469,58
160,0,26.81,5.56,0,32,7,0.090731085,32
161,0,26.83,5.9,0,8,7,0.150643674,8
162,0,26.84,6,0,0,7,0.670652733,0
163,0,26.86,5.97,0,0,7,0.458044054,0
164,0,26.89,5.88,0,0,7,0.043224356,0
165,0,26.9,5.82,0,0,7,0.722982415,0
166,0,26.87,5.65,0,0,7,0.008174948,0
167,0,26.8,5.39,0,0,7,0.958724661,0
168,0,26.71,5.22,0,0,8,0.344002373,0
169,0,26.61,5.18,0,0,8,0.070424066,0
170,0,26.49,5.2,0,0,8,0.8498117,0
171,0,26.4,5.22,0,0,8,0.71808428,0
172,0,26.33,5.12,0,0,8,0.414803923,0
173,0,26.3,4.91,0,0,8,0.680864496,0
174,0,26.36,4.72,0,1,8,0.580511732,1
175,18,26.51,4.53,0,68,8,0.187399153,64
176,511,26.68,4.33,0,298,8,0.219246979,103
177,756,26.81,4.18,0,519,8,0.004971794,104
